name,scientificName,description,uses,preparation,location,imageUrl
Turmeric,Curcuma longa,"Bright yellow rhizome with finger-like projections, grows 3-5 feet tall with broad leaves","Anti-inflammatory, wound healing, digestive aid, joint pain relief, skin conditions","Fresh root can be grated or dried powder mixed with warm milk or water","India, Southeast Asia, tropical regions","https://images.unsplash.com/photo-1615485500704-8e990f9900f7"
Aloe Vera,Aloe barbadensis,"Succulent plant with thick fleshy leaves containing clear gel, grows in rosette pattern","Burns, cuts, skin irritation, digestive issues, wound healing","Cut leaf and apply gel directly to skin or consume inner gel","Arid regions, Mediterranean, Africa, India","https://images.unsplash.com/photo-1596003906949-67221c37965c"
Neem,Azadirachta indica,"Medium-sized evergreen tree with pinnate leaves and small white flowers","Antibacterial, antifungal, skin diseases, diabetes, immune support","Leaves boiled in water for tea, paste for topical application","Indian subcontinent, tropical regions","https://images.unsplash.com/photo-1582794543139-8ac9cb0f7b11"
Ginger,Zingiber officinale,"Knotted underground stem with papery brown skin, pungent aroma","Nausea, motion sickness, digestive issues, cold symptoms, inflammation","Fresh root grated in tea, dried powder in warm water","Southeast Asia, tropical regions worldwide","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Holy Basil,Ocimum tenuiflorum,"Aromatic herb with green or purple leaves, small purple flowers","Stress relief, respiratory issues, diabetes, fever, adaptogen","Fresh leaves chewed or tea made from dried leaves","Indian subcontinent, Southeast Asia","https://images.unsplash.com/photo-1580991564554-50c8b3bc6ad5"
Garlic,Allium sativum,"Bulbous plant with papery white skin covering multiple cloves","Cardiovascular health, immunity, antibacterial, cholesterol","Raw cloves eaten, crushed in food, oil extraction","Central Asia, Mediterranean","https://images.unsplash.com/photo-1596013924023-b8e32d92cd99"
Ashwagandha,Withania somnifera,"Small shrub with oval leaves and red berries, woody root system","Stress adaptation, sleep improvement, energy, anxiety relief","Root powder mixed with milk or water, capsules","India, Middle East, parts of Africa","https://images.unsplash.com/photo-1582660017383-41c7c2bdb016"
Brahmi,Bacopa monnieri,"Small creeping herb with succulent leaves and small white flowers","Memory enhancement, cognitive function, anxiety, brain health","Fresh herb juice, dried powder in water or milk","Wetlands of Asia, Australia, Americas","https://images.unsplash.com/photo-1583031842968-0def8b66d13e"
Fenugreek,Trigonella foenum-graecum,"Annual herb with trifoliate leaves and small white flowers, aromatic seeds","Diabetes management, lactation support, digestive health","Seeds soaked overnight and consumed, powder in food","Mediterranean, Asia, Eastern Europe","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Triphala,Emblica officinalis,"Combination of three fruits: Amalaki, Bibhitaki, Haritaki","Digestive health, detoxification, immune support, antioxidant","Powder mixed with warm water before bed","Indian subcontinent, Southeast Asia","https://images.unsplash.com/photo-1582546849903-8b0e0bf9e89a"
